response_id	grna_group	target_type
ZNF281	chr1:198441350-198441651	enh
ZNF281	chr1:198570089-198570390	enh
ZNF281	chr1:198668607-198668908	enh
ZNF281	chr1:198710922-198711223	enh
ZNF281	chr1:198757893-198758194	enh
ZNF281	chr1:198799187-198799488	enh
ZNF281	chr1:198799485-198799786	enh
ZNF281	chr1:199187184-199187485	enh
ZNF281	chr1:199212619-199212920	enh
ZNF281	chr1:199241808-199242109	enh
ZNF281	chr1:199306507-199306808	enh
ZNF281	chr1:199391396-199391697	enh
ZNF281	chr1:199432683-199432984	enh
ZNF281	chr1:199481199-199481500	enh
ZNF281	chr1:199514919-199515220	enh
ZNF281	chr1:199704793-199705094	enh
ZNF281	chr1:199717119-199717420	enh
ZNF281	chr1:199768277-199768578	enh
ZNF281	chr1:199835424-199835725	enh
ZNF281	chr1:199923869-199924170	enh
ZNF281	chr1:199945985-199946286	enh
ZNF281	chr1:199998189-199998490	enh
ZNF281	chr1:199998654-199998955	enh
ZNF281	chr1:200003935-200004236	enh
ZNF281	chr1:200007796-200008097	enh
ZNF281	chr1:200008222-200008523	enh
ZNF281	chr1:200008561-200008862	enh
ZNF281	chr1:200009826-200010127	enh
ZNF281	chr1:200010430-200010731	enh
ZNF281	chr1:200017435-200017736	enh
ZNF281	chr1:200059727-200060028	enh
ZNF281	chr1:200248955-200249256	enh
ZNF281	chr1:200271335-200271636	enh
ZNF281	chr1:200271612-200271913	enh
ZNF281	chr1:200272005-200272306	enh
ZNF281	chr1:200310450-200310751	enh
ZNF281	chr1:200335354-200335655	enh
ZNF281	chr1:200378362-200378663	enh
ZNF281	ZNF281_TSS	TSS
PEX10	RER1_TSS	TSS
RER1	RER1_TSS	TSS
PEX10	PEX10_TSS	TSS
RER1	PEX10_TSS	TSS
PEX10	chr1:2345197-2345498	enh
RER1	chr1:2345197-2345498	enh
PEX10	chr1:2477463-2477764	enh
RER1	chr1:2477463-2477764	enh
PEX10	chr1:2478317-2478618	enh
RER1	chr1:2478317-2478618	enh
PEX10	chr1:2509706-2510007	enh
RER1	chr1:2509706-2510007	enh
PEX10	chr1:2518516-2518817	enh
RER1	chr1:2518516-2518817	enh
PEX10	chr1:2523059-2523360	enh
RER1	chr1:2523059-2523360	enh
PEX10	chr1:2525294-2525595	enh
RER1	chr1:2525294-2525595	enh
PEX10	chr1:2526009-2526310	enh
RER1	chr1:2526009-2526310	enh
PEX10	chr1:2527204-2527505	enh
RER1	chr1:2527204-2527505	enh
SH3BGRL3	ZNF593_TSS	TSS
SMPDL3B	ZNF593_TSS	TSS
TRNP1	ZNF593_TSS	TSS
ZNF593	ZNF593_TSS	TSS
LIN28A	ZNF593_TSS	TSS
RPA2	ZNF593_TSS	TSS
ARID1A	ZNF593_TSS	TSS
CEP85	ZNF593_TSS	TSS
HMGN2	ZNF593_TSS	TSS
SH3BGRL3	chr1:26527719-26528020	enh
SMPDL3B	chr1:26527719-26528020	enh
TRNP1	chr1:26527719-26528020	enh
ZNF593	chr1:26527719-26528020	enh
LIN28A	chr1:26527719-26528020	enh
RPA2	chr1:26527719-26528020	enh
ARID1A	chr1:26527719-26528020	enh
CEP85	chr1:26527719-26528020	enh
FAM46B	chr1:26527719-26528020	enh
HMGN2	chr1:26527719-26528020	enh
SH3BGRL3	chr1:26602054-26602355	enh
SMPDL3B	chr1:26602054-26602355	enh
TRNP1	chr1:26602054-26602355	enh
ZNF593	chr1:26602054-26602355	enh
LIN28A	chr1:26602054-26602355	enh
RPA2	chr1:26602054-26602355	enh
ARID1A	chr1:26602054-26602355	enh
CEP85	chr1:26602054-26602355	enh
FAM46B	chr1:26602054-26602355	enh
HMGN2	chr1:26602054-26602355	enh
SH3BGRL3	SH3BGRL3_TSS	TSS
SMPDL3B	SH3BGRL3_TSS	TSS
TRNP1	SH3BGRL3_TSS	TSS
ZNF593	SH3BGRL3_TSS	TSS
LIN28A	SH3BGRL3_TSS	TSS
RPA2	SH3BGRL3_TSS	TSS
