grna_id	grna_group	gRNA_type
WTC11_Random_Screen_Crop_1	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_2	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_3	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_4	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_5	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_6	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_7	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_8	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_9	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_10	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_11	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_12	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_13	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_14	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_15	chr1:198392893-198393194	enh
WTC11_Random_Screen_Crop_16	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_17	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_18	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_19	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_20	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_21	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_22	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_23	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_24	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_25	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_26	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_27	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_28	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_29	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_30	chr1:198441350-198441651	enh
WTC11_Random_Screen_Crop_31	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_32	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_33	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_34	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_35	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_36	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_37	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_38	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_39	chr1:198570089-198570390	enh
WTC11_Random_Screen_Crop_40	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_41	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_42	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_43	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_44	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_45	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_46	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_47	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_48	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_49	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_50	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_51	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_52	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_53	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_54	chr1:198668607-198668908	enh
WTC11_Random_Screen_Crop_55	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_56	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_57	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_58	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_59	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_60	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_61	chr1:198710922-198711223	enh
WTC11_Random_Screen_Crop_62	chr1:198710922-198711223	enh
